element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
557,1,7,6,True,2026-08-21T19:00:00Z,3,0,1,False,75,0,1,1,0,0,0,0,0,0,0,0,30,17.0,39.8,30.0,8.7,2,3,1,6,1,0.19,0.14,0.33,0.06,65,0,2247384,0,0,557
557,20,2,0,False,2026-08-31T19:00:00Z,0,1,2,False,45,0,0,0,0,0,0,0,1,0,0,0,1,0.0,11.8,4.0,1.6,1,2,0,3,1,0.00,0.01,0.01,0.10,65,180987,2597617,236687,55700,557
29,7,5,1,False,2026-08-23T13:00:00Z,4,0,1,False,90,0,0,0,4,0,0,0,0,0,3,0,1,28.2,0.0,0.0,2.8,2,6,0,0,1,0.00,0.00,0.00,3.77,45,0,10183,0,0,29
29,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-36,13320,845,881,29
30,7,5,0,False,2026-08-23T13:00:00Z,4,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,13780,0,0,30
30,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-4977,8690,0,4977,30
32,7,5,-1,False,2026-08-23T13:00:00Z,4,0,1,False,90,0,0,0,4,0,0,0,1,0,0,0,-8,12.0,1.1,0.0,1.3,5,0,2,7,1,0.00,0.00,0.00,3.77,45,0,789072,0,0,32
32,20,1,2,True,2026-08-31T19:00:00Z,0,1,2,False,77,0,0,0,1,0,0,0,0,0,0,0,8,14.0,1.8,7.0,2.3,2,1,4,6,1,0.15,0.01,0.16,1.04,45,-79349,749133,26978,106327,32
33,7,5,1,False,2026-08-23T13:00:00Z,4,0,1,False,16,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.0,0.0,0.2,0,0,1,1,0,0.00,0.00,0.00,0.22,45,0,29034,0,0,33
33,20,1,0,True,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-254,38144,3253,3507,33
