id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,193
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,194
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,194
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,195
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,195
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,196
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,196
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,197
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,197
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,198
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,198
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,199
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,199
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,200
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,200
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,201
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,201
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,202
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,202
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,203
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,203
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,204
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,204
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,205
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,205
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,206
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,206
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,207
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,207
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,208
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,208
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,209
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,209
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,210
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,210
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,211
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,211
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,212
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,212
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,213
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,213
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,214
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,214
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,215
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,215
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,216
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,216
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,217
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,217
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,218
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,218
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,219
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,219
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,470
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,470
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,614
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,614
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,676
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,676
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,680
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,680
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,722
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,722
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,776
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,776
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,784
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,784
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,820
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,820
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,66
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,66
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,67
377,2562271,16,,4,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,67
363,2562255,4,,13,,37,False,0,False,2026-05-19T18:30:00Z,Gameweek 37,True,4,68
